"DIVISION";"SECTOR"
"01";"A"
"02";"A"
"03";"A"
"05";"B"
"06";"B"
"07";"B"
"08";"B"
"09";"B"
"10";"C10-C12"
"11";"C10-C12"
"12";"C10-C12"
"13";"C13-C15"
"14";"C13-C15"
"15";"C13-C15"
"16";"C16-C18"
"17";"C16-C18"
"18";"C16-C18"
"19";"C19"
"20";"C20-C23"
"21";"C20-C23"
"22";"C20-C23"
"23";"C20-C23"
"24";"C24_C25"
"25";"C24_C25"
"26";"C26-C30"
"27";"C26-C30"
"28";"C26-C30"
"29";"C26-C30"
"30";"C26-C30"
"31";"C31-C33"
"32";"C31-C33"
"33";"C31-C33"
"35";"D"
"36";"E"
"37";"E"
"38";"E"
"39";"E"
"41";"F"
"42";"F"
"43";"F"
"45";"G"
"46";"G"
"47";"G"
"49";"H-T"
"50";"H-T"
"51";"H-T"
"52";"H-T"
"53";"H-T"
"55";"H-T"
"56";"H-T"
"58";"H-T"
"59";"H-T"
"60";"H-T"
"61";"H-T"
"62";"H-T"
"63";"H-T"
"64";"H-T"
"65";"H-T"
"66";"H-T"
"68";"H-T"
"69";"H-T"
"70";"H-T"
"71";"H-T"
"72";"H-T"
"73";"H-T"
"74";"H-T"
"75";"H-T"
"77";"H-T"
"78";"H-T"
"79";"H-T"
"80";"H-T"
"81";"H-T"
"82";"H-T"
"84";"H-T"
"85";"H-T"
"86";"H-T"
"87";"H-T"
"88";"H-T"
"90";"H-T"
"91";"H-T"
"92";"H-T"
"93";"H-T"
"94";"H-T"
"95";"H-T"
"96";"H-T"
"97";"H-T"
"98";"H-T"