"ere_data$CNA_PRODUIT";"RESS";"IMP";"TRESS"
"AZ";77878;14253;92131
"BZ";4923;41156;46079
"CA";175385;42456;217841
"CB";17096;39504;56600
"CC";36855;13915;50770
"CD";38878;24720;63598
"CE";66110;46567;112677
"CF";27326;26197;53523
"CG";54950;27004;81954
"CH";87579;41656;129235
"CI";26098;47981;74079
"CJ";21034;28559;49593
"CK";38474;45956;84430
"CL";144733;103168;247901
"CM";75009;33539;108548
"DZ";124857;765;125622
"EZ";51651;1780;53431
"FZ";298417;0;298417
"GZ";442412;9413;451825
"HZ";216186;30250;246436
"IZ";115922;0;115922
"JA";58453;5532;63985
"JB";54383;4319;58702
"JC";101182;13337;114519
"KZ";230165;7085;237250
"LZ";331336;0;331336
"MA";262379;27856;290235
"MB";65351;9554;74905
"MC";38245;7250;45495
"NZ";215751;34698;250449
"OZ";196594;0;196594
"PZ";137165;0;137165
"QA";168554;874;169428
"QB";84247;0;84247
"RZ";53798;853;54651
"SZ";44738;3035;47773
"TZ";1570;0;1570
